"","gateway.serial","gateway.name","sensor.serial","sensor.name","data.source.id","data.source.type","date","value","data.type","sensor","times"
"84","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:03:01+0100",21.4,"temp","D",2015-11-10 06:03:01
"85","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:04:01+0100",21.4,"temp","D",2015-11-10 06:04:01
"86","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:05:00+0100",21.5,"temp","D",2015-11-10 06:05:00
"87","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:06:00+0100",21.4,"temp","D",2015-11-10 06:06:00
"88","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:07:00+0100",21.4,"temp","D",2015-11-10 06:07:00
"89","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:07:59+0100",21.4,"temp","D",2015-11-10 06:07:59
"90","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:08:59+0100",21.4,"temp","D",2015-11-10 06:08:59
"91","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:09:59+0100",21.4,"temp","D",2015-11-10 06:09:59
"92","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:10:58+0100",21.4,"temp","D",2015-11-10 06:10:58
"93","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:11:58+0100",21.4,"temp","D",2015-11-10 06:11:58
"94","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:12:58+0100",21.4,"temp","D",2015-11-10 06:12:58
"95","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:13:57+0100",21.4,"temp","D",2015-11-10 06:13:57
"96","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:14:56+0100",21.4,"temp","D",2015-11-10 06:14:56
"97","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:15:57+0100",21.5,"temp","D",2015-11-10 06:15:57
"98","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:16:57+0100",21.5,"temp","D",2015-11-10 06:16:57
"99","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:17:56+0100",21.4,"temp","D",2015-11-10 06:17:56
"100","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:18:56+0100",21.4,"temp","D",2015-11-10 06:18:56
"101","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:19:56+0100",21.4,"temp","D",2015-11-10 06:19:56
"102","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:20:55+0100",21.4,"temp","D",2015-11-10 06:20:55
"103","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:21:55+0100",21.4,"temp","D",2015-11-10 06:21:55
"104","1002d2ef","Leapcraft Office",20022890,"D",20902,"temp","2015-11-10T07:22:55+0100",21.4,"temp","D",2015-11-10 06:22:55
