DateTime;Sensor 1 - NO₂ (ppm);DateTime;Sensor 2 - NO₂ (ppm);DateTime;Sensor 1 - CO (ppm);DateTime;Sensor 2 - CO (ppm);DateTime;Sensor 1 - Temperature (°C);DateTime;Sensor 2 - Temperature (°C);DateTime;Sensor 1 - Humidity (%);DateTime;Sensor 2 - Humidity (%);DateTime;Sensor 1 - Battery (%);DateTime;Sensor 2 - Battery (%)
2015-11-02 03:00:00;;2015-11-02 03:00:00;0.0023076923076923075;2015-11-09 17:00:00;;2015-11-09 17:00:00;1.06;2015-11-02 03:00:00;;2015-11-02 03:00:00;10.541538461538462;2015-11-02 03:00:00;;2015-11-02 03:00:00;93.21615384615384;2015-11-02 03:00:00;;2015-11-02 03:00:00;92
2015-11-02 04:00:00;;2015-11-02 04:00:00;0;2015-11-10 01:00:00;;2015-11-10 01:00:00;1.04;2015-11-02 04:00:00;;2015-11-02 04:00:00;8.405714285714286;2015-11-02 04:00:00;;2015-11-02 04:00:00;92.81428571428572;2015-11-02 04:00:00;;2015-11-02 04:00:00;92.78571428571429
2015-11-02 05:00:00;;2015-11-02 05:00:00;0;2015-11-10 09:00:00;;2015-11-10 09:00:00;1.33;2015-11-02 05:00:00;;2015-11-02 05:00:00;9.189285714285715;2015-11-02 05:00:00;;2015-11-02 05:00:00;93.15142857142857;2015-11-02 05:00:00;;2015-11-02 05:00:00;92.28571428571429
2015-11-02 06:00:00;;2015-11-02 06:00:00;0;2015-11-10 17:00:00;;2015-11-10 17:00:00;1.34;2015-11-02 06:00:00;;2015-11-02 06:00:00;8.911428571428571;2015-11-02 06:00:00;;2015-11-02 06:00:00;92.82642857142856;2015-11-02 06:00:00;;2015-11-02 06:00:00;91.57142857142857
2015-11-02 07:00:00;;2015-11-02 07:00:00;0.0064285714285714285;2015-11-11 01:00:00;;2015-11-11 01:00:00;1.29;2015-11-02 07:00:00;;2015-11-02 07:00:00;9.602857142857143;2015-11-02 07:00:00;;2015-11-02 07:00:00;93.38428571428571;2015-11-02 07:00:00;;2015-11-02 07:00:00;91.71428571428571
2015-11-02 08:00:00;;2015-11-02 08:00:00;0.015384615384615384;2015-11-11 09:00:00;;2015-11-11 09:00:00;1.31;2015-11-02 08:00:00;;2015-11-02 08:00:00;9.202307692307691;2015-11-02 08:00:00;;2015-11-02 08:00:00;93.49692307692308;2015-11-02 08:00:00;;2015-11-02 08:00:00;90.76923076923077
2015-11-02 09:00:00;;2015-11-02 09:00:00;0.005;2015-11-11 17:00:00;;2015-11-11 17:00:00;1.18;2015-11-02 09:00:00;;2015-11-02 09:00:00;9.004285714285714;2015-11-02 09:00:00;;2015-11-02 09:00:00;92.98785714285714;2015-11-02 09:00:00;;2015-11-02 09:00:00;89.14285714285714
2015-11-02 10:00:00;;2015-11-02 10:00:00;0.009999999999999998;2015-11-12 01:00:00;;2015-11-12 01:00:00;1.18;2015-11-02 10:00:00;;2015-11-02 10:00:00;10.661428571428571;2015-11-02 10:00:00;;2015-11-02 10:00:00;90.59642857142858;2015-11-02 10:00:00;;2015-11-02 10:00:00;88.64285714285714
2015-11-02 11:00:00;;2015-11-02 11:00:00;0.0035714285714285718;2015-11-12 09:00:00;;2015-11-12 09:00:00;1.14;2015-11-02 11:00:00;;2015-11-02 11:00:00;10.363571428571431;2015-11-02 11:00:00;;2015-11-02 11:00:00;90.60928571428572;2015-11-02 11:00:00;;2015-11-02 11:00:00;88.35714285714286
2015-11-02 12:00:00;;2015-11-02 12:00:00;0.0064285714285714285;2015-11-12 17:00:00;;2015-11-12 17:00:00;0.89;2015-11-02 12:00:00;;2015-11-02 12:00:00;9.303571428571429;2015-11-02 12:00:00;;2015-11-02 12:00:00;91.95928571428571;2015-11-02 12:00:00;;2015-11-02 12:00:00;86.28571428571429
